long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,long,long,long,long,flags,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,float,long,long
4670,-1,-1,0,"Rotface kills (Heroic Icecrown 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Rotface kills (Heroic Icecrown 25 player)",,,,,,,,,,,,,,,,16712190,15062,0,40,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
698,-1,-1,0,"Sunwell Plateau",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Kil'jaeden in Sunwell Plateau.",,,,,,,,,,,,,,,,16712190,14805,10,41,0x0,3592,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1244,-1,-1,0,"Well Read",,,,,,,,,,,,,,,,0xFF01FE,"Read the books listed below.",,,,,,,,,,,,,,,,16712190,92,10,41,0x0,2892,"",,,,,,,,,,,,,,,,4,23703948044372E37,0,0
1368,-1,533,0,"Anub'Rekhan kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Anub'Rekhan kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,41,0x1,1899,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2016,1,-1,0,"Grizzled Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Grizzly Hills PvP daily quests listed below.",,,,,,,,,,,,,,,,16712190,95,10,41,0x0,3343,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2154,-1,599,0,"Brann Spankin' New",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the Tribunal of Ages encounter in the Halls of Stone on Heroic Difficulty without allowing Brann Bronzebeard to take any damage.",,,,,,,,,,,,,,,,16712190,14921,10,41,0x0,3286,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2971,-1,603,0,"Don't Stand in the Lightning (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thorim without any raid member being struck by Lightning Charge in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,41,0x0,320,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
2972,-1,603,0,"Don't Stand in the Lightning (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thorim without any raid member being struck by Lightning Charge in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,41,0x0,320,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
4078,-1,649,0,"Realm First! Grand Crusader",,,,,,,,,,,,,,,,0xFF01FE,"Participated in the realm first conquest of the Trial of the Grand Crusader with 50 attempts remaining in 25-player mode.",,,,,,,,,,,,,,,,16712190,81,0,41,0x300,3805,"Title Reward: The Grand Crusader",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
4648,-1,-1,0,"Blood Prince Council kills (Icecrown 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Blood Prince Council kills (Icecrown 10 player)",,,,,,,,,,,,,,,,16712190,15062,0,41,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
1378,-1,533,0,"Gluth kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Gluth kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,42,0x1,97,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1867,-1,602,0,"Timely Death",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Loken in the Halls of Lightning on Heroic Difficulty in 2 minutes or less.",,,,,,,,,,,,,,,,16712190,14921,10,42,0x0,3302,"",,,,,,,,,,,,,,,,6,62037339591169E35,0,0
1956,-1,571,0,"Higher Learning",,,,,,,,,,,,,,,,0xFF01FE,"Read the volumes of The Schools of Arcane Magic found in Dalaran listed below.""",,,,,,,,,,,,,,,,16712190,92,10,42,0x0,1865,"Reward: The Schools of Arcane Magic - Mastery",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
2017,0,-1,0,"Grizzled Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Grizzly Hills PvP daily quests listed below.",,,,,,,,,,,,,,,,16712190,95,10,42,0x0,3343,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2973,-1,603,0,"I'll Take You All On (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thorim, the Ancient Rune Giant and the Runic Colossus in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,42,0x0,3864,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2974,-1,603,0,"I'll Take You All On (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thorim, the Ancient Rune Giant and the Runic Colossus in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,42,0x0,3864,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
4576,-1,631,0,"Realm First! Fall of the Lich King",,,,,,,,,,,,,,,,0xFF01FE,"Participated in the realm first defeat of the Lich King in 25-player heroic mode.",,,,,,,,,,,,,,,,16712190,81,0,42,0x300,4127,"",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
4671,-1,-1,0,"Blood Prince Council kills (Heroic Icecrown 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Blood Prince Council kills (Heroic Icecrown 10 player)",,,,,,,,,,,,,,,,16712190,15062,0,42,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
230,1,-1,0,"Battlemaster",,,,,,,,,,,,,,,,0xFF01FE,"Complete the battleground achievements listed below.",,,,,,,,,,,,,,,,16712190,95,50,43,0x0,3372,"Title Reward: Battlemaster",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
1379,-1,533,0,"Gothik the Harvester kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Gothik the Harvester kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,43,0x1,2639,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1463,-1,-1,0,"Realm First! Northrend Vanguard",,,,,,,,,,,,,,,,0xFF01FE,"First player on the realm to gain exalted reputation with the Argent Crusade, Wyrmrest Accord, Kirin Tor and Knights of the Ebon Blade.",,,,,,,,,,,,,,,,16712190,81,0,43,0x100,2207,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1833,-1,-1,0,"It's Happy Hour Somewhere",,,,,,,,,,,,,,,,0xFF01FE,"Drink 25 different types of beverages.",,,,,,,,,,,,,,,,16712190,92,10,43,0xA0,3083,"",,,,,,,,,,,,,,,,6,62037339591169E35,25,346
1834,-1,602,0,"Lightning Struck",,,,,,,,,,,,,,,,0xFF01FE,"Defeat General Bjarngrim in the Halls of Lightning on Heroic Difficulty while he has a Temporary Electrical Charge.",,,,,,,,,,,,,,,,16712190,14921,10,43,0x0,3242,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2975,-1,603,0,"Who Needs Bloodlust? (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thorim while under the effect of Aura of Celerity in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,43,0x0,122,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2976,-1,603,0,"Who Needs Bloodlust? (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thorim while under the effect of Aura of Celerity in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,43,0x0,122,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
4672,-1,-1,0,"Blood Prince Council kills (Icecrown 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Blood Prince Council kills (Icecrown 25 player)",,,,,,,,,,,,,,,,16712190,15062,0,43,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
662,-1,-1,0,"Collector's Edition: Mini-Diablo",,,,,,,,,,,,,,,,0xFF01FE,"Owner of the World of Warcraft Collector's Edition Mini-Diablo pet.",,,,,,,,,,,,,,,,16712190,81,0,44,0x0,2795,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1175,0,-1,0,"Battlemaster",,,,,,,,,,,,,,,,0xFF01FE,"Complete the battleground achievements listed below.",,,,,,,,,,,,,,,,16712190,95,50,44,0x0,3373,"Title Reward: Battlemaster",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
1380,-1,533,0,"Grand Widow Faerlina kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Grand Widow Faerlina kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,44,0x1,1899,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1832,-1,-1,0,"Tastes Like Chicken",,,,,,,,,,,,,,,,0xFF01FE,"Sample 50 different kinds of Azeroth's delectable dishes.",,,,,,,,,,,,,,,,16712190,92,10,44,0xA0,3266,"",,,,,,,,,,,,,,,,6,62037339591169E35,50,347
2042,-1,602,0,"Shatter Resistant",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Volkhan in the Halls of Lightning on Heroic Difficulty without allowing him to shatter more than 4 Brittle Golems.",,,,,,,,,,,,,,,,16712190,14921,10,44,0x0,937,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2977,-1,603,0,"Siffed (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Force Thorim to enter the arena while Sif is present in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,44,0x0,3863,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2978,-1,603,0,"Siffed (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Force Thorim to enter the arena while Sif is present in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,44,0x0,3863,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
4673,-1,-1,0,"Blood Prince Council kills (Heroic Icecrown 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Blood Prince Council kills (Heroic Icecrown 25 player)",,,,,,,,,,,,,,,,16712190,15062,0,44,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
663,-1,-1,0,"Collector's Edition: Panda",,,,,,,,,,,,,,,,0xFF01FE,"Owner of the World of Warcraft Collector's Edition Panda pet.",,,,,,,,,,,,,,,,16712190,81,0,45,0x0,2531,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1381,-1,533,0,"Grobbulus kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Grobbulus kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,45,0x1,97,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1817,-1,595,0,"The Culling of Time",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the Infinite Corruptor in The Culling of Stratholme on Heroic Difficulty.",,,,,,,,,,,,,,,,16712190,14921,10,45,0x0,3265,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2076,-1,-1,0,"Armored Brown Bear",,,,,,,,,,,,,,,,0xFF01FE,"Obtain an Armored Brown Bear from Mei Francis in Dalaran.",,,,,,,,,,,,,,,,16712190,92,10,45,0x0,3497,"",,,,,,,,,,,,,,,,2,64814935836468E36,1,0
3176,-1,603,2977,"Lose Your Illusion (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thorim while Sif is present in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,45,0x0,3863,"",,,,,,,,,,,,,,,,-9,63391124374421E24,0,0
3183,-1,603,2978,"Lose Your Illusion (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thorim while Sif is present in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,45,0x0,3863,"",,,,,,,,,,,,,,,,-9,63391124374421E24,0,0
4649,-1,-1,0,"Valithria Dreamwalker rescues (Icecrown 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Valithria Dreamwalker rescues (Icecrown 10 player)",,,,,,,,,,,,,,,,16712190,15062,0,45,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
664,-1,-1,0,"Collector's Edition: Zergling",,,,,,,,,,,,,,,,0xFF01FE,"Owner of the World of Warcraft Collector's Edition Zergling pet.",,,,,,,,,,,,,,,,16712190,81,0,46,0x0,214,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1382,-1,533,0,"Heigan the Unclean kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Heigan the Unclean kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,46,0x1,2997,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1872,-1,595,0,"Zombiefest!",,,,,,,,,,,,,,,,0xFF01FE,"Kill 100 Risen Zombies in 1 minute in The Culling of Stratholme on Heroic Difficulty.",,,,,,,,,,,,,,,,16712190,14921,10,46,0x0,3012,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2077,-1,-1,0,"Wooly Mammoth",,,,,,,,,,,,,,,,0xFF01FE,"Obtain a Wooly Mammoth from Mei Francis in Dalaran.",,,,,,,,,,,,,,,,16712190,92,10,46,0x0,3443,"",,,,,,,,,,,,,,,,2,64814935836468E36,1,0
2979,-1,603,0,"Lumberjacked (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Elder Brightleaf, Elder Ironbranch and Elder Stonebark within 15 seconds of each other in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,46,0x0,2258,"",,,,,,,,,,,,,,,,2,64814935836468E36,1,0
3118,-1,603,0,"Lumberjacked (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Elder Brightleaf, Elder Ironbranch and Elder Stonebark within 15 seconds of each other in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,46,0x0,2258,"",,,,,,,,,,,,,,,,-1,69481558935339E38,1,0
4674,-1,-1,0,"Valithria Dreamwalker rescues (Heroic Icecrown 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Valithria Dreamwalker rescues (Heroic Icecrown 10 player)",,,,,,,,,,,,,,,,16712190,15062,0,46,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
665,-1,-1,0,"Collector's Edition: Netherwhelp",,,,,,,,,,,,,,,,0xFF01FE,"Owner of the The Burning Crusade's Collector's Edition Netherwhelp pet.",,,,,,,,,,,,,,,,16712190,81,0,47,0x0,2449,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1383,-1,533,0,"Four Horsemen kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Four Horsemen kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,47,0x1,2639,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2043,-1,575,0,"The Incredible Hulk",,,,,,,,,,,,,,,,0xFF01FE,"Force Svala Sorrowgrave to kill a Scourge Hulk on Heroic Difficulty in Utgarde Pinnacle.",,,,,,,,,,,,,,,,16712190,14921,10,47,0x0,460,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2078,-1,-1,0,"Traveler's Tundra Mammoth",,,,,,,,,,,,,,,,0xFF01FE,"Obtain a Traveler's Tundra Mammoth from Mei Francis in Dalaran.",,,,,,,,,,,,,,,,16712190,92,10,47,0x0,3443,"",,,,,,,,,,,,,,,,2,64814935836468E36,1,0
2980,-1,603,0,"Con-speed-atory (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya within 20 minutes of the first creature you kill in the Conservatory of Life in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,47,0x0,2864,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2981,-1,603,0,"Con-speed-atory (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya within 20 minutes of the first creature you kill in the Conservatory of Life in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,47,0x0,2864,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
4675,-1,-1,0,"Valithria Dreamwalker rescues (Icecrown 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Valithria Dreamwalker rescues (Icecrown 25 player)",,,,,,,,,,,,,,,,16712190,15062,0,47,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
683,-1,-1,0,"Collector's Edition: Frost Wyrm Whelp",,,,,,,,,,,,,,,,0xFF01FE,"Owner of the Wrath of the Lich King's Collector's Edition Frost Wyrm Whelp pet.",,,,,,,,,,,,,,,,16712190,81,0,48,0x0,3752,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1384,-1,533,0,"Instructor Razuvious kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Instructor Razuvious kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,48,0x1,2639,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1873,-1,575,0,"Lodi Dodi We Loves the Skadi",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Skadi the Ruthless in Utgarde Pinnacle on Heroic Difficulty within 3 minutes of starting the gauntlet event.",,,,,,,,,,,,,,,,16712190,14921,10,48,0x0,3307,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2097,-1,-1,0,"Get to the Choppa!",,,,,,,,,,,,,,,,0xFF01FE,"Obtain a Mekgineer's Chopper or a Mechano-hog.",,,,,,,,,,,,,,,,16712190,92,10,48,0x0,1101,"",,,,,,,,,,,,,,,,1,69481558935339E38,1,0
2984,-1,603,0,"Deforestation (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat 2 Ancient Water Spirits, 2 Storm Lashers and 2 Snaplashers within 10 seconds in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,48,0x0,40,"",,,,,,,,,,,,,,,,2,64814935836468E36,1,0
2985,-1,603,0,"Deforestation (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat 2 Ancient Water Spirits, 2 Storm Lashers and 2 Snaplashers within 10 seconds in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,48,0x0,40,"",,,,,,,,,,,,,,,,2,64814935836468E36,1,0
4676,-1,-1,0,"Valithria Dreamwalker rescues (Heroic Icecrown 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Valithria Dreamwalker rescues (Heroic Icecrown 25 player)",,,,,,,,,,,,,,,,16712190,15062,0,48,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
1385,-1,533,0,"Loatheb kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Loatheb kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,49,0x1,2997,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2084,-1,-1,0,"Ring of the Kirin Tor",,,,,,,,,,,,,,,,0xFF01FE,"Purchase a Signet of the Kirin Tor, Band of the Kirin Tor, Loop of the Kirin Tor, or Ring of the Kirin Tor in Dalaran.",,,,,,,,,,,,,,,,16712190,92,10,49,0x0,3447,"",,,,,,,,,,,,,,,,4,23703897338348E37,1,0
2156,-1,575,0,"My Girl Loves to Skadi All the Time",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Skadi the Ruthless in Utgarde Pinnacle on Heroic Difficulty after having killed Grauf from 100% to dead in a single pass.",,,,,,,,,,,,,,,,16712190,14921,10,49,0x0,3319,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2982,-1,603,0,"Getting Back to Nature (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya while she is affected by 25 stacks of Attuned to Nature in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,49,0x0,3865,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2983,-1,603,0,"Getting Back to Nature (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya while she is affected by 25 stacks of Attuned to Nature in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,49,0x0,3865,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
4650,-1,-1,0,"Professor Putricide kills (Icecrown 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Professor Putricide kills (Icecrown 10 player)",,,,,,,,,,,,,,,,16712190,15062,0,49,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
4824,-1,-1,0,"Collector's Edition: Mini Thor",,,,,,,,,,,,,,,,0xFF01FE,"Owner of the Starcraft II Collector's Edition Mini Thor pet.",,,,,,,,,,,,,,,,16712190,81,0,49,0x0,4347,"",,,,,,,,,,,,,,,,2,34187409591322E-38,1,0
411,-1,-1,0,"Murky",,,,,,,,,,,,,,,,0xFF01FE,"Proud owner of Murky from the 2005 BlizzCon in Anaheim, California.",,,,,,,,,,,,,,,,16712190,81,0,50,0x0,2316,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1386,-1,533,0,"Maexxna kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Maexxna kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,50,0x1,1899,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2157,-1,575,0,"King's Bane",,,,,,,,,,,,,,,,0xFF01FE,"Defeat King Ymiron in Utgarde Pinnacle on Heroic Difficulty without anyone in the party triggering Bane.",,,,,,,,,,,,,,,,16712190,14921,10,50,0x0,3321,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2716,-1,-1,0,"Dual Talent Specialization",,,,,,,,,,,,,,,,0xFF01FE,"Visit your class trainer when you are at least level 40 and activate your Dual Talent Specialization.",,,,,,,,,,,,,,,,16712190,92,10,50,0x0,2970,"",,,,,,,,,,,,,,,,-1,69481558935339E38,0,0
3177,-1,603,0,"Knock on Wood (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya while leaving at least 1 Elder alive in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,50,0x0,3642,"",,,,,,,,,,,,,,,,-9,63391124374421E24,0,0
3185,-1,603,0,"Knock on Wood (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya while leaving at least 1 Elder alive in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,50,0x0,3642,"",,,,,,,,,,,,,,,,-9,63391124374421E24,0,0
4677,-1,-1,0,"Professor Putricide kills (Heroic Icecrown 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Professor Putricide kills (Heroic Icecrown 10 player)",,,,,,,,,,,,,,,,16712190,15062,0,50,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
412,-1,-1,0,"Murloc Costume",,,,,,,,,,,,,,,,0xFF01FE,"Proud owner of the Murloc Costume from the 2007 BlizzCon in Anaheim, California.",,,,,,,,,,,,,,,,16712190,81,0,51,0x0,1751,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1387,-1,533,0,"Noth the Plaguebringer kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Noth the Plaguebringer kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,51,0x1,2997,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1871,-1,578,0,"Experienced Drake Rider",,,,,,,,,,,,,,,,0xFF01FE,"On three different visits to The Oculus, get credit for defeating Ley-Guardian Eregos while riding an Amber, Emerald, and Ruby drake on Heroic Difficulty.",,,,,,,,,,,,,,,,16712190,14921,10,51,0x0,3306,"",,,,,,,,,,,,,,,,6,62037339591169E35,0,0
2141,-1,-1,0,"Stable Keeper",,,,,,,,,,,,,,,,0xFF01FE,"Obtain 10 mounts.",,,,,,,,,,,,,,,,16712190,92,10,51,0x0,2165,"",,,,,,,,,,,,,,,,6,62037339591169E35,0,0
3178,-1,603,3177,"Knock, Knock on Wood (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya while leaving at least 2 Elders alive in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,51,0x0,3642,"",,,,,,,,,,,,,,,,-9,63391124374421E24,0,0
3186,-1,603,3185,"Knock, Knock on Wood (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya while leaving at least 2 Elders alive in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,51,0x0,3642,"",,,,,,,,,,,,,,,,-9,63391124374421E24,0,0
4678,-1,-1,0,"Professor Putricide kills (Icecrown 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Professor Putricide kills (Icecrown 25 player)",,,,,,,,,,,,,,,,16712190,15062,0,51,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
415,-1,-1,0,"Big Blizzard Bear",,,,,,,,,,,,,,,,0xFF01FE,"Proud owner of the Big Blizzard Bear from the 2008 BlizzCon.",,,,,,,,,,,,,,,,16712190,81,0,52,0x0,3895,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
1367,-1,533,0,"Patchwerk kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Patchwerk kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,52,0x1,97,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1868,-1,578,0,"Make It Count",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Ley-Guardian Eregos in The Oculus on Heroic Difficulty within 20 minutes of Drakos the Interrogator's death.",,,,,,,,,,,,,,,,16712190,14921,10,52,0x0,3303,"",,,,,,,,,,,,,,,,6,62037339591169E35,0,0
2142,-1,-1,2141,"Filling Up The Barn",,,,,,,,,,,,,,,,0xFF01FE,"Obtain 25 mounts.",,,,,,,,,,,,,,,,16712190,92,10,52,0x0,2406,"",,,,,,,,,,,,,,,,6,62037339591169E35,0,0
3179,-1,603,3178,"Knock, Knock, Knock on Wood (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya while leaving all 3 Elders alive in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,52,0x0,3642,"",,,,,,,,,,,,,,,,-9,63391124374421E24,0,0
3187,-1,603,3186,"Knock, Knock, Knock on Wood (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Freya while leaving all 3 Elders alive in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,52,0x0,3642,"",,,,,,,,,,,,,,,,-9,63391124374421E24,0,0
4679,-1,-1,0,"Professor Putricide kills (Heroic Icecrown 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Professor Putricide kills (Heroic Icecrown 25 player)",,,,,,,,,,,,,,,,16712190,15062,0,52,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
1388,-1,533,0,"Thaddius kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Thaddius kills (Naxxramas 25 player)",,,,,,,,,,,,,,,,16712190,14823,10,53,0x1,97,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2044,-1,578,0,"Ruby Void",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Ley-Guardian Eregos in The Oculus on Heroic Difficulty without anyone in your party using a Ruby Drake.",,,,,,,,,,,,,,,,16712190,14921,10,53,0x0,3495,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2143,-1,-1,2142,"Leading the Cavalry",,,,,,,,,,,,,,,,0xFF01FE,"Obtain 50 mounts.",,,,,,,,,,,,,,,,16712190,92,10,53,0x0,3444,"Reward: Albino Drake",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
2989,-1,603,0,"Set Up Us the Bomb (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Mimiron without anyone in the raid being hit by the following in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,53,0x0,3261,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
